"= rf_sport1","Coefficient"
"альпинизм",1
"бейсджампинг",1
"горнолыжный спорт",1
"дельтапланеризм",1
"зимнее плавание",1
"каньонинг",1
"ледолазание",1
"парапланеризм",1
"пара-ски (парашютно-горнолыжное двоеборье)",1
"прыжки на лыжах с трамплина",1
"скайсёрфинг",1
"спидскиинг",1
"скалолазание",1
"слоупстайл",1
"спелеология",1
"фрирайд (борд/лыжи на целине)",1
"фристайл",1
"хели-ски (вертолетно-горнолыжный-сноубордический маршрут)",1
"маунтинбайк",1
"воздушно-спортивный эквилибр",1
"вмх",1
"дельтапланеризм",1
"дертджампинг",1
"банджи-джампинг",1
"паркур",1
"полиатлон",1
"флайджет",1
"автомотоспорт",2
"американский футбол",2
"бокс",2
"борьба (в т.ч. восточные единоборства и т.д.)",2
"виндсерфинг",2
"горные лыжи",2
"горный туризм",2
"дайвинг",2
"лыжные виды спорта",2
"парашютный спорт",2
"парусный спорт",2
"рафтинг (сплав по горным порожистым рекам на рафте)",2
"серфинг",2
"сноубординг",2
"управление одно-двухместными спортивными самолетами",2
"буерный спорт",2
"вейкбординг",2
"армспорт",2
"атлетика воздушная",2
"кобудо",2
"кросс-кантри",2
"кэмпо",2
"водно-моторный спорт",2
"мечевой бой",2
"многоборье",2
"парусный спорт",2
"пауэрлифтинг",2
"рогейн",2
"скайраннинг",2
"спелеотуризм",2
"трикинг",2
"фридайвинг",2
"яхтинг",2
"акробатика",3
"баскетбол",3
"велосипедный спорт",3
"гандбол",3
"гимнастика",3
"гребля на байдарках и каноэ",3
"конькобежный спорт",3
"легкая атлетика",3
"пожарно-прикладной спорт",3
"регби",3
"санный спорт",3
"тимбилдинг",3
"современное пятиборье",3
"триатлон",3
"спортивная гимнастика",3
"спортивные танцы",3
"стрельба",3
"тяжелая атлетика",3
"фехтование",3
"фигурное катание",3
"футбол",3
"хоккей",3
"художественная гимнастика",3
"военно-полевые сборы",3
"каякинг",3
"керлинг",3
"конькобежный спорт",3
"аэротруба",3
"балет",3
"кроссфит",3
"лазертаг",3
"водное поло",3
"дуатлон",3
"воркаут",3
"бег",3
"бодибилдинг",3
"пол дэнс",3
"прыжки на батуте",3
"прыжки с трамплина",3
"регбол",3
"свимран",3
"спортивно-прикладное собаководство",3
"стритбол",3
"танцы акробатические",3
"танцы современные",3
"трейлраннинг",3
"фитнес",3
"флаг-футбол",3
"хореография",3
"чир спорт",3
"чирлидинг",3
"шестовая акробатика",3
"воздушная гимнастика",3
"академическая гребля",4
"бадминтон",4
"бейсбол",4
"биатлон",4
"верховая езда",4
"конный спорт",4
"волейбол",4
"зорбинг",4
"лыжные гонки",4
"минифутбол",4
"охота и рыболовство",4
"плавание",4
"подводное плавание и ныряние",4
"прыжки в воду",4
"ракетбол",4
"реал теннис",4
"скейтборд",4
"софтбол",4
"спортивное ориентирование",4
"спортивный туризм",4
"стрельба из арбалета",4
"стрельба из лука",4
"стрельба пулевая",4
"стрельба стендовая",4
"пейнтбол",4
"теннис",4
"зумба",4
"йога",4
"боулинг",4
"автомодельный спорт",4
"карточные игры",4
"киберспорт",4
"гольф",4
"веселые старты",4
"крокет",4
"аэробика",4
"гто",4
"дартс",4
"городошный спорт",4
"бильярд",4
"авиамодельный спорт",4
"нарды",4
"перетягивание каната",4
"петанк",4
"радиоспорт",4
"сквош",4
"спортивная ходьба",4
"стрелковый спорт",4
"судомодельный порт",4
"треккинг",4
"флаинг-диск",4
"шашки",4
"экскурсионные поездки",4
"шахматы",4
