"= pl_TermMonths","Coefficient"
"1","0,2"
"2","0,3"
"3","0,4"
"4","0,5"
"5","0,6"
"6","0,7"
"7","0,75"
"8","0,8"
"9","0,85"
"10","0,9"
"11","0,95"
"12",1
"13","1,083333333"
"14","1,166666667"
"15","1,25"
"16","1,333333333"
"17","1,416666667"
"18","1,5"
"19","1,583333333"
"20","1,666666667"
"21","1,75"
"22","1,833333333"
"23","1,916666667"
"24",2
"25","2,083333333"
"26","2,166666667"
"27","2,25"
"28","2,333333333"
"29","2,416666667"
"30","2,5"
"31","2,583333333"
"32","2,666666667"
"33","2,75"
"34","2,833333333"
"35","2,916666667"
"36",3
